Name	Company	TICKER	Total Compensation ($ Million)	Total Revenue ($ Billion)	Log Total Compensation	Log Total Revenue
Alfred Marshall Rankin, Jr.	NACCO INDUSTRIES  -CL A	NC	$10.53 	$2.68 	7.022	0.428
Timothy J. Stultz, Ph.D.	NANOMETRICS INC	NANO	$1.84 	$0.19 	6.264	-0.726
Alvin D. Kang	NARA BANCORP INC	NARA	$0.32 	$0.18 	5.501	-0.757
Robert Greifeld	NASDAQ OMX GROUP INC	NDAQ	$5.81 	$3.20 	6.764	0.505
Alec C. Covington	NASH FINCH CO	NAFC	$2.63 	$4.99 	6.421	0.698
Jessica M. Bibliowicz	NATIONAL FINANCIAL PRTNRS CP	NFP	$1.97 	$0.98 	6.295	-0.008
David F. Smith	NATIONAL FUEL GAS CO	NFG	$7.06 	$1.76 	6.849	0.246
James J. Truchard, Ph.D.	NATIONAL INSTRUMENTS CORP	NATI	$0.19 	$0.87 	5.285	-0.059
Merrill A. Miller, Jr.	NATIONAL OILWELL VARCO INC	NOV	$9.25 	$12.16 	6.966	1.085
Glenn E. Moyer	NATIONAL PENN BANCSHARES INC	NPBC	$0.74 	$0.48 	5.868	-0.317
Maryjo J. Cohen	NATIONAL PRESTO INDS INC	NPK	$0.63 	$0.48 	5.8	-0.32
Craig Macnab	NATIONAL RETAIL PROPERTIES	NNN	$3.70 	$0.27 	6.568	-0.569
Donald Macleod	NATIONAL SEMICONDUCTOR CORP	NSM	$4.74 	$1.52 	6.676	0.182
Douglas M. Pasquale	NATIONWIDE HEALTH PPTYS INC	NHP	$4.88 	$0.45 	6.689	-0.352
Michael D. Dean	NATURES SUNSHINE PRODS INC	NATR	$1.29 	$0.35 	6.111	-0.456
James B. Hawkins	NATUS MEDICAL INC	BABY	$2.10 	$0.22 	6.322	-0.66
Edward J. Bramson	NAUTILUS INC	NLS	$0.00 	$0.17 	0	-0.774
William M. Goodyear	NAVIGANT CONSULTING INC	NCI	$1.88 	$0.70 	6.275	-0.153
Stanley A. Galanski	NAVIGATORS GROUP INC	NAVG	$2.52 	$0.78 	6.401	-0.11
Daniel C. Ustian	NAVISTAR INTERNATIONAL CORP	NAV	$10.38 	$12.15 	7.016	1.084
Norman Chambers	NCI BUILDING SYSTEMS INC	NCS	$5.25 	$0.87 	6.72	-0.06
Charles K. Narang	NCI INC	NCIT	$0.97 	$0.58 	5.988	-0.236
William R. Nuti	NCR CORP	NCR	$12.17 	$4.82 	7.085	0.683
Sean Erwin	NEENAH PAPER INC	NP	$5.47 	$0.66 	6.738	-0.182
James L. Herbert	NEOGEN CORP	NEOG	$0.96 		5.984	
Thomas Georgens	NETAPP INC	NTAP	$8.34 	$5.12 	6.921	0.709
Reed Hastings	NETFLIX INC	NFLX	$5.52 	$2.16 	6.742	0.335
Patrick C. S. Lo	NETGEAR INC	NTGR	$2.74 	$0.90 	6.438	-0.045
Anil K. Singhal	NETSCOUT SYSTEMS INC	NTCT	$1.17 	$0.29 	6.069	-0.537
C. Nicholas Keating, Jr.	NETWORK EQUIPMENT TECH INC	NWK	$0.75 	$0.06 	5.876	-1.221
Jeffrey E. Ganek	NEUSTAR INC	NSR	$5.73 	$0.53 	6.758	-0.278
Rian Wren	NEUTRAL TANDEM INC	TNDM	$2.70 	$0.20 	6.432	-0.699
Laurence M. Downes	NEW JERSEY RESOURCES CORP	NJR	$2.28 	$2.64 	6.357	0.421
Joseph R. Ficalora	NEW YORK CMNTY BANCORP INC	NYB	$5.60 	$2.25 	6.748	0.351
Janet Robinson	NEW YORK TIMES CO  -CL A	NYT	$5.28 	$2.39 	6.723	0.379
Peyton R. Patterson	NEWALLIANCE BANCSHARES INC	NAL	$7.11 		6.852	
Mark D. Ketchum	NEWELL RUBBERMAID INC	NWL	$11.91 	$5.76 	7.076	0.76
Lee K. Boothby	NEWFIELD EXPLORATION CO	NFX	$5.17 	$1.88 	6.713	0.275
Thomas E. Gottwald	NEWMARKET CORP	NEU	$1.77 	$1.80 	6.247	0.255
Richard T. O'Brien	NEWMONT MINING CORP	NEM	$12.51 	$9.54 	7.097	0.98
Robert J. Phillippy	NEWPORT CORP	NEWP	$1.84 	$0.48 	6.265	-0.319
Keith Rupert Murdoch	NEWS CORP	NWSA	$22.73 	$32.78 	7.357	1.516
Keith Rupert Murdoch	NEWS CORP	NWSA	$33.29 	$32.78 	7.522	1.516
Lewis Hay, III	NEXTERA ENERGY INC	NEE	$13.56 	$15.32 	7.132	1.185
Russ M. Strobel	NICOR INC	GAS	$3.31 	$2.71 	6.52	0.433
Steven P. Dussek	NII HOLDINGS INC	NIHD	$4.88 	$5.41 	6.688	0.733
Mark G. Parker	NIKE INC  -CL B	NKE	$11.03 	$20.86 	7.043	1.319
Robert C. Skaggs, Jr.	NISOURCE INC	NI	$5.77 	$6.42 	6.761	0.808
David W. Williams	NOBLE CORP	NE	$9.59 	$2.81 	6.982	0.448
Charles D. Davidson	NOBLE ENERGY INC	NBL	$10.33 	$2.90 	7.014	0.463
Michael F. Hilton	NORDSON CORP	NDSN	$4.14 	$1.04 	6.617	0.018
Blake W. Nordstrom	NORDSTROM INC	JWN	$5.95 	$9.70 	6.775	0.987
Charles W. Moorman, IV	NORFOLK SOUTHERN CORP	NSC	$10.96 	$9.52 	7.04	0.978
Paviter S. Binning, Pavi	NORTEL NETWORKS CORP	NRTLQ	$3.03 	$0.62 	6.482	-0.208
Charles W. Shivery	NORTHEAST UTILITIES	NU	$8.25 	$4.90 	6.917	0.69
Michael L. Reger	NORTHERN OIL & GAS INC	NOG	$4.73 	$0.05 	6.675	-1.351
Frederick H. Waddell	NORTHERN TRUST CORP	NTRS	$12.76 	$4.03 	7.106	0.605
Wesley G. Bush	NORTHROP GRUMMAN CORP	NOC	$22.85 	$34.76 	7.359	1.541
William J. Wagner	NORTHWEST BANCSHARES INC	NWBI	$0.92 	$0.43 	5.964	-0.366
Gregg S. Kantor	NORTHWEST NATURAL GAS CO	NWN	$2.79 	$0.81 	6.445	-0.09
Robert C. Rowe, Esq.	NORTHWESTERN CORP	NWE	$1.23 	$1.11 	6.091	0.046
Peter V. Leparulo	NOVATEL WIRELESS INC	NVTL	$1.38 	$0.34 	6.139	-0.47
Ronald W. Hovsepian	NOVELL INC	NOVL	$4.12 		6.614	
Richard Hill	NOVELLUS SYSTEMS INC	NVLS	$10.56 	$1.35 	7.024	0.13
James K. Schwartz	NPC INTERNATIONAL INC	0738B	$1.74 	$0.98 	6.24	-0.01
David Crane	NRG ENERGY INC	NRG	$8.12 	$8.85 	6.91	0.947
Thomas J. May	NSTAR	NST	$7.91 	$2.92 	6.898	0.465
James A. Hyde	NTELOS HOLDINGS CORP	NTLS	$2.14 	$0.55 	6.331	-0.263
Michael J. Bush	NTN BUZZTIME INC	NTN	$1.10 	$0.03 	6.043	-1.597
Daniel R. DiMicco	NUCOR CORP	NUE	$6.77 	$15.85 	6.831	1.2
Joseph M. Redling	NUTRISYSTEM INC	NTRI	$5.27 	$0.51 	6.721	-0.293
Alexis V. Lukianov	NUVASIVE INC	NUVA	$6.20 	$0.48 	6.792	-0.32
Michael W. Yackira	NV ENERGY INC	NVE	$5.34 	$3.28 	6.727	0.516
Jen-Hsun Huang	NVIDIA CORP	NVDA	$5.28 	$3.54 	6.723	0.549
Paul C. Saville	NVR INC	NVR	$30.88 	$3.06 	7.49	0.485
Duncan L. Niederauer	NYSE EURONEXT	NYX	$7.06 	$4.43 	6.849	0.646
Jeffrey D. Warne	O'CHARLEY'S INC	CHUX	$1.02 	$0.83 	6.007	-0.081
Gregory L. Henslee	O'REILLY AUTOMOTIVE INC	ORLY	$4.90 	$5.40 	6.69	0.732
Ray R. Irani, Ph.D.	OCCIDENTAL PETROLEUM CORP	OXY	$76.11 	$19.05 	7.881	1.28
T. Jay Collins	OCEANEERING INTERNATIONAL	OII	$5.80 	$1.92 	6.764	0.283
Neil R. Austrian	OFFICE DEPOT INC	ODP	$1.40 	$11.63 	6.146	1.066
Sam Duncan	OFFICEMAX INC	OMX	$3.42 	$7.15 	6.534	0.854
Peter B. Delaney	OGE ENERGY CORP	OGE	$5.63 	$3.72 	6.75	0.57
Cindy B. Taylor	OIL STATES INTL INC	OIS	$2.95 	$2.41 	6.47	0.382
David S. Congdon	OLD DOMINION FREIGHT	ODFL	$1.98 	$1.48 	6.297	0.171
Robert G. Jones	OLD NATIONAL BANCORP	ONB	$1.02 	$0.47 	6.007	-0.331
Aldo C. Zucaro	OLD REPUBLIC INTL CORP	ORI	$1.23 	$4.10 	6.09	0.613
Joseph D. Rupp	OLIN CORP	OLN	$5.22 	$1.59 	6.717	0.2
Michael D. Siegal	OLYMPIC STEEL INC	ZEUS	$0.97 	$0.81 	5.987	-0.094
Joseph M. Scaminace	OM GROUP INC	OMG	$4.62 	$1.20 	6.665	0.078
C. Taylor Pickett	OMEGA HEALTHCARE INVS INC	OHI	$1.57 	$0.26 	6.195	-0.594
Joel F. Gemunder	OMNICARE INC	OCR	$32.83 	$6.15 	7.516	0.789
Randall Lipps	OMNICELL INC	OMCL	$1.99 	$0.22 	6.298	-0.653
John Wren	OMNICOM GROUP	OMC	$10.77 	$12.54 	7.032	1.098
Kevin M. McMullen	OMNOVA SOLUTIONS INC	OMN	$3.77 	$0.85 	6.577	-0.073
Peter T. Dameris	ON ASSIGNMENT INC	ASGN	$2.20 	$0.44 	6.342	-0.358
John W. Gibson	ONEOK INC	OKE	$8.09 	$13.03 	6.908	1.115
Kenneth D. Denman	OPENWAVE SYSTEMS INC	OPWV	$0.71 	$0.18 	5.853	-0.737
Joseph Y. Liu	OPLINK COMMUNICATIONS INC	OPLK	$1.78 	$0.14 	6.249	-0.858
David A. Fisher	OPTIONSXPRESS HOLDINGS INC	OXPS	$1.68 	$0.23 	6.225	-0.635
Lawrence J. Ellison	ORACLE CORP	ORCL	$77.56 	$35.62 	7.89	1.552
David W. Thompson	ORBITAL SCIENCES CORP	ORB	$1.88 	$1.30 	6.275	0.112
J. Michael Pearson	ORION MARINE GROUP INC	ORN	$1.50 	$0.35 	6.176	-0.452
Kevin J. Lynch	ORITANI FINANCIAL CORP	ORIT	$6.82 	$0.11 	6.834	-0.955
Robert G. Bohn	OSHKOSH CORP	OSK	$4.12 	$9.84 	6.615	0.993
Deepak Chopra	OSI SYSTEMS INC	OSIS	$4.10 	$0.60 	6.613	-0.225
Morten Arntzen	OVERSEAS SHIPHOLDING GROUP	OSG	$2.70 	$1.05 	6.432	0.019
Craig R. Smith	OWENS & MINOR INC	OMI	$3.95 	$8.12 	6.597	0.91
Michael H. Thaman	OWENS CORNING	OC	$9.73 	$5.00 	6.988	0.699
Albert P. L. Stroucken, Ph.D.	OWENS-ILLINOIS INC	OI	$7.79 	$6.63 	6.892	0.822
J. Hicks Lanier	OXFORD INDUSTRIES INC	OXM	$1.29 	$0.62 	6.11	-0.208
Gary D. Owens	OYO GEOSPACE CORP	OYOG	$0.45 	$0.13 	5.655	-0.891
Robert T. Vivian	P F CHANGS CHINA BISTRO INC	PFCB	$1.21 	$1.24 	6.084	0.094
Mark C. Pigott	PACCAR INC	PCAR	$7.73 	$10.29 	6.888	1.013
Gary H. Schoenfeld	PACIFIC SUNWEAR CALIF INC	PSUN	$1.06 	$0.93 	6.025	-0.032
G. E. Abel	PACIFICORP	9989B	$0.00 	$4.43 	0	0.647
Mark W. Kowlzan	PACKAGING CORP OF AMERICA	PKG	$3.72 	$2.44 	6.571	0.387
Matthew P. Wagner	PACWEST BANCORP	PACW	$3.40 	$0.34 	6.531	-0.47
Eric Krasnoff	PALL CORP	PLL	$10.04 	$2.40 	7.002	0.381
Joseph P. Caruso	PALOMAR MED TECHNOLOGIES INC	PMTI	$1.31 	$0.06 	6.116	-1.196
William W. Moreton	PANERA BREAD CO	PNRA	$2.06 	$1.54 	6.314	0.188
John H. Schnatter	PAPA JOHNS INTERNATIONAL INC	PZZA	$2.62 	$1.13 	6.417	0.052
Patrick G. LePore	PAR PHARMACEUTICAL COS INC	PRX	$3.65 	$1.01 	6.562	0.004
C. Richard Harrison	PARAMETRIC TECHNOLOGY CORP	PMTC	$6.09 	$1.01 	6.785	0.004
Josef H. von Rickenbach	PAREXEL INTERNATIONAL CORP	PRXL	$3.54 	$1.34 	6.55	0.126
Brian E. Shore	PARK ELECTROCHEMICAL CORP	PKE	$0.36 	$0.21 	5.554	-0.674
David C. Mannon	PARKER DRILLING CO	PKD	$4.94 	$0.66 	6.693	-0.181
Donald E. Washkewicz	PARKER-HANNIFIN CORP	PH	$17.31 	$9.99 	7.238	1
Steven G. Rogers	PARKWAY PROPERTIES INC	PKY	$1.33 	$0.26 	6.124	-0.588
Richard W. Whiting	PATRIOT COAL CORP	PCX	$4.33 	$2.04 	6.636	0.309
Scott P. Anderson	PATTERSON COMPANIES INC	PDCO	$1.97 	$3.42 	6.294	0.533
Douglas J. Wall	PATTERSON-UTI ENERGY INC	PTEN	$4.98 	$1.46 	6.697	0.165
Martin Mucci	PAYCHEX INC	PAYX	$3.33 	$2.08 	6.522	0.319
Martin H. Singer, Ph.D.	PCTEL INC	PCTI	$1.32 	$0.07 	6.12	-1.16
John P. McLaughlin	PDL BIOPHARMA INC	PDLI	$1.70 	$0.35 	6.231	-0.462
Gregory H. Boyce	PEABODY ENERGY CORP	BTU	$9.59 	$6.86 	6.982	0.836
Patrick J. O'Dea	PEET'S COFFEE & TEA INC	PEET	$1.82 	$0.33 	6.26	-0.477
Tom Malkoski	PENFORD CORP	PENX	$1.00 	$0.25 	6.001	-0.595
A. James Dearlove	PENN VIRGINIA CORP	PVA	$4.04 	$0.25 	6.606	-0.596
Myron E. Ullman, III	PENNEY (J C) CO	JCP	$13.12 	$17.76 	7.118	1.249
Ronald Rubin	PENNSYLVANIA RE INVS TRUST	PEI	$3.21 	$0.47 	6.507	-0.333
Randall J. Hogan, III	PENTAIR INC	PNR	$10.29 	$3.03 	7.013	0.482
Philip R. Sherringham	PEOPLE'S UNITED FINL INC	PBCT	$10.10 	$1.13 	7.004	0.052
Michael R. Odell	PEP BOYS-MANNY MOE & JACK	PBY	$3.39 	$1.99 	6.53	0.299
Joseph M. Rigby	PEPCO HOLDINGS INC	POM	$3.55 	$7.04 	6.551	0.848
Indra K. Nooyi	PEPSICO INC	PEP	$16.18 	$57.84 	7.209	1.762
Jeffrey S. Davis	PERFICIENT INC	PRFT	$1.95 	$0.22 	6.29	-0.668
Alex Chi-Ming Hui	PERICOM SEMICONDUCTOR CORP	PSEM	$1.04 	$0.15 	6.016	-0.833
Robert F. Friel	PERKINELMER INC	PKI	$7.95 	$1.70 	6.9	0.232
Joseph C. Papa	PERRIGO CO	PRGO	$5.27 	$2.27 	6.721	0.356
Joseph C. Papa	PERRIGO CO	PRGO	$5.65 	$2.27 	6.752	0.356
Menderes Akdag	PETMED EXPRESS INC	PETS	$0.78 	$0.23 	5.89	-0.635
Floyd C. Wilson	PETROHAWK ENERGY CORP	HK	$7.74 	$1.75 	6.889	0.244
Richard W. McCullough	PETROLEUM DEVELOPMENT CORP	PETD	$2.90 	$0.35 	6.463	-0.459
Charles T. Goodson	PETROQUEST ENERGY INC	PQ	$2.01 	$0.18 	6.303	-0.746
Robert F. Moran	PETSMART INC	PETM	$6.52 	$5.69 	6.814	0.755
Jeffrey B. Kindler	PFIZER INC	PFE	$24.69 	$67.79 	7.393	1.831
Peter A. Darbee	PG&E CORP	PCG	$8.39 	$13.84 	6.924	1.141
David L. Grange	PHARMACEUTICAL PROD DEV INC	PPDI	$1.94 	$1.47 	6.289	0.167
Gregory S. Weishar	PHARMERICA CORP	PMC	$2.58 	$1.85 	6.412	0.267
Jerome J. Selitto	PHH CORP	PHH	$1.76 	$3.05 	6.244	0.484
Louis C. Camilleri, BA	PHILIP MORRIS INTERNATIONAL	PM	$21.66 	$27.21 	7.336	1.435
Constantine S. Mac Ricostas	PHOTRONICS INC	PLAB	$1.33 	$0.43 	6.124	-0.371
Thomas E. Skains	PIEDMONT NATURAL GAS CO	PNY	$3.00 	$1.55 	6.476	0.191
Alexander W. Smith	PIER 1 IMPORTS INC/DE	PIR	$6.47 	$1.40 	6.811	0.145
Don Jackson	PILGRIM'S PRIDE CORP	PPC	$2.66 	$6.88 	6.425	0.838
Anthony Sanfilippo	PINNACLE ENTERTAINMENT INC	PNK	$5.60 	$1.10 	6.748	0.041
M. Terry Turner	PINNACLE FINL PARTNERS INC	PNFP	$1.06 	$0.24 	6.026	-0.62
Donald E. Brandt	PINNACLE WEST CAPITAL CORP	PNW	$5.66 	$3.26 	6.753	0.514
William Stacy Locke	PIONEER DRILLING CO	PDC	$2.73 	$0.49 	6.437	-0.312
Scott D. Sheffield	PIONEER NATURAL RESOURCES CO	PXD	$8.61 	$1.80 	6.935	0.256
Andrew S. Duff	PIPER JAFFRAY COS INC	PJC	$2.82 	$0.57 	6.45	-0.248
Murray Martin	PITNEY BOWES INC	PBI	$8.33 	$5.43 	6.921	0.734
James C. Flores	PLAINS EXPLORATION & PROD CO	PXP	$8.99 	$1.55 	6.954	0.189
Gerald K. Perkel	PLANAR SYSTEMS INC	PLNR	$0.98 	$0.18 	5.993	-0.755
Kenneth Kannappan	PLANTRONICS INC	PLT	$3.35 	$0.68 	6.524	-0.165
Michael D. Price	PLATINUM UNDERWRITERS HLDG	PTP	$4.09 	$0.98 	6.612	-0.011
Dean Foate	PLEXUS CORP	PLXS	$4.33 	$2.01 	6.637	0.304
Rick R. Holley	PLUM CREEK TIMBER CO INC	PCL	$5.85 	$1.25 	6.767	0.096
Gregory S. Lang	PMC-SIERRA INC	PMCS	$3.49 	$0.64 	6.542	-0.197
L. Stephen Smith	PMI GROUP INC	PMI	$6.22 	$0.65 	6.794	-0.185
James E. Rohr	PNC FINANCIAL SVCS GROUP INC	PNC	$16.60 	$16.94 	7.22	1.229
Pat Collawn	PNM RESOURCES INC	PNM	$2.47 	$1.67 	6.393	0.224
Scott W. Wine	POLARIS INDUSTRIES INC	PII	$3.62 	$1.99 	6.559	0.299
Andrew M. Miller	POLYCOM INC	PLCM	$4.34 	$1.22 	6.638	0.086
Stephen D. Newlin	POLYONE CORP	POL	$7.51 	$2.62 	6.876	0.419
Manuel Perez De La Mesa	POOL CORP	POOL	$2.06 	$1.61 	6.315	0.208
Richard L. Carrion	POPULAR INC	BPOP	$1.80 	$2.60 	6.254	0.414
Steven D. Fredrickson	PORTFOLIO RECOVRY ASSOC INC	PRAA	$2.52 	$0.37 	6.401	-0.429
David P. Stockert	POST PROPERTIES INC	PPS	$1.54 	$0.31 	6.186	-0.516
Michael J. Covey	POTLATCH CORP	PCH	$4.07 	$0.54 	6.609	-0.268
Patrick L. McDonald	POWELL INDUSTRIES INC	POWL	$1.18 	$0.55 	6.072	-0.259
Balu Balakrishnan	POWER INTEGRATIONS INC	POWI	$2.73 	$0.30 	6.436	-0.523
Richard J. Thompson	POWER-ONE INC	PWER	$8.18 	$1.05 	6.913	0.02
Ronald J. Buschur	POWERWAVE TECHNOLOGIES INC	PWAV	$3.96 	$0.59 	6.597	-0.228
Charles E. Bunch	PPG INDUSTRIES INC	PPG	$12.39 	$13.48 	7.093	1.13
James H. Miller	PPL CORP	PPL	$12.27 	$8.52 	7.089	0.93
Stephen F. Angel	PRAXAIR INC	PX	$15.33 	$10.12 	7.185	1.005
Mark Donegan	PRECISION CASTPARTS CORP	PCP	$12.11 	$6.22 	7.083	0.794
Mark Brown	PREPAID LEGAL SERVICES INC	PPD	$1.31 		6.117	
Donald L. Barnes	PRESIDENTIAL LIFE CORP	PLFE	$0.62 	$0.30 	5.794	-0.519
Matthew M. Mannelly	PRESTIGE BRANDS HOLDINGS	PBH	$1.54 	$0.34 	6.188	-0.473
Romil Bahl	PRGX GLOBAL INC	PRGX	$2.51 	$0.18 	6.399	-0.735
James Aloysius Charles Kennedy, CFA	PRICE (T. ROWE) GROUP	TROW	$7.14 	$2.37 	6.853	0.375
Jeffery H. Boyd	PRICELINE.COM INC	PCLN	$7.48 	$3.09 	6.874	0.489
Louis A. Raspino, Jr.	PRIDE INTERNATIONAL INC	PDE	$7.80 		6.892	
Larry Donald Zimpleman	PRINCIPAL FINANCIAL GRP INC	PFG	$8.25 	$9.06 	6.916	0.957
Larry D. Richman	PRIVATEBANCORP INC	PVTB	$2.68 	$0.60 	6.428	-0.221
William Stancil Starnes, Esq.	PROASSURANCE CORP	PRA	$2.70 	$0.69 	6.432	-0.161
Robert A. McDonald	PROCTER & GAMBLE CO	PG	$13.12 	$78.94 	7.118	1.897
Robert A. McDonald	PROCTER & GAMBLE CO	PG	$16.19 	$78.94 	7.209	1.897
William D. Johnson	PROGRESS ENERGY INC	PGN	$6.23 	$10.19 	6.794	1.008
Richard D. Reidy	PROGRESS SOFTWARE CORP	PRGS	$4.69 	$0.53 	6.671	-0.275
Glenn M. Renwick	PROGRESSIVE CORP-OHIO	PGR	$9.61 	$14.95 	6.983	1.174
Walter C. Rakowich	PROLOGIS INC	PLD	$6.20 	$0.94 	6.793	-0.028
David Zalman	PROSPERITY BANCSHARES INC	PRSP	$1.03 	$0.44 	6.012	-0.358
John D. Johns	PROTECTIVE LIFE CORP	PL	$6.35 	$3.08 	6.803	0.488
Christopher Martin	PROVIDENT FINANCIAL SVCS INC	PFS	$1.23 	$0.32 	6.09	-0.497
John Robert Strangfeld, Jr.	PRUDENTIAL FINANCIAL INC	PRU	$22.57 	$38.49 	7.354	1.585
Joseph D. Russell, Jr.	PS BUSINESS PARKS	PSB	$1.42 	$0.28 	6.151	-0.554
Gary A. Corless	PSS WORLD MEDICAL INC	PSSI	$2.81 	$2.04 	6.449	0.309
Ralph Izzo	PUBLIC SERVICE ENTRP GRP INC	PEG	$9.23 	$11.79 	6.965	1.072
Ronald L. Havner, Jr.	PUBLIC STORAGE	PSA	$2.01 	$1.69 	6.303	0.227
William E. Crenshaw	PUBLIX SUPER MARKETS INC	PUSH	$0.99 	$25.33 	5.997	1.404
Stephen P. Reynolds	PUGET ENERGY INC	5495B	$1.83 	$3.12 	6.263	0.494
Drew A. Moyer	PULSE ELECTRONICS CORP	PULS	$1.44 	$0.43 	6.159	-0.364
Richard J. Dugas, Jr.	PULTEGROUP INC	PHM	$6.64 	$4.57 	6.822	0.66
Emanuel Chirico	PVH CORP	PVH	$12.86 	$4.64 	7.109	0.666
Charles B. Stanley	QEP RESOURCES INC	QEP	$7.87 	$2.25 	6.896	0.351
H. K. Desai	QLOGIC CORP	QLGC	$3.62 	$0.60 	6.559	-0.224
Michael F. Barry	QUAKER CHEMICAL CORP	KWR	$2.45 	$0.54 	6.389	-0.264
Paul E. Jacobs, Ph.D.	QUALCOMM INC	QCOM	$17.63 	$10.99 	7.246	1.041
Steven T. Plochocki	QUALITY SYSTEMS INC	QSII	$1.00 	$0.35 	6.001	-0.452
David D. Petratis	QUANEX BUILDING PRODUCTS	NX	$3.90 	$0.80 	6.59	-0.098
John R. Colson	QUANTA SERVICES INC	PWR	$2.78 	$3.93 	6.444	0.595
Richard E. Belluzzo	QUANTUM CORP	QTM	$1.82 	$0.67 	6.261	-0.172
Surya N. Mohapatra, Ph.D.	QUEST DIAGNOSTICS INC	DGX	$12.34 	$7.37 	7.091	0.867
Douglas F. Garn	QUEST SOFTWARE INC	QSFT	$4.55 	$0.77 	6.658	-0.115
Ronald W. Jibson	QUESTAR CORP	STR	$3.47 	$1.12 	6.541	0.051
Don M. Bailey	QUESTCOR PHARMACEUTICALS INC	QCOR	$1.80 	$0.12 	6.254	-0.939
Glenn M. Darden	QUICKSILVER RESOURCES INC	KWK	$4.80 	$0.93 	6.681	-0.032
Robert B. McKnight, Jr.	QUIKSILVER INC	ZQK	$2.91 	$1.84 	6.464	0.264
Edward A. Mueller	QWEST COMMUNICATION INTL INC	Q	$13.46 		7.129	
A. Lanham Napier	RACKSPACE HOSTING INC	RAX	$2.24 	$0.78 	6.35	-0.108
S. A. Ibrahim	RADIAN GROUP INC	RDN	$3.26 	$0.38 	6.514	-0.42
John H. Heyman	RADIANT SYSTEMS INC	RADS	$2.14 	$0.35 	6.33	-0.46
Alfred C. Liggins, III	RADIO ONE INC	ROIAK	$4.20 	$0.28 	6.623	-0.553
Julian C. Day	RADIOSHACK CORP	RSH	$4.91 	$4.47 	6.691	0.651
Scott C. Grout	RADISYS CORP	RSYS	$1.48 	$0.28 	6.169	-0.546
Kevin J. Hunt	RALCORP HOLDINGS INC	RAH	$6.50 	$4.05 	6.813	0.607
Ralph Lauren	RALPH LAUREN CORP	RL	$29.70 	$5.66 	7.473	0.753
Harold E. Hughes, Jr.	RAMBUS INC	RMBS	$4.20 	$0.32 	6.624	-0.49
John H. Pinkerton	RANGE RESOURCES CORP	RRC	$6.63 	$0.96 	6.822	-0.017
Paul C. Reilly	RAYMOND JAMES FINANCIAL CORP	RJF	$3.06 	$2.98 	6.486	0.474
Lee M. Thomas	RAYONIER INC	RYN	$6.92 	$1.32 	6.84	0.119
William H. Swanson	RAYTHEON CO	RTN	$18.59 	$25.50 	7.269	1.407
Curt Steolting	RC2 CORP	RCRC	$2.55 		6.407	
Thomas A. Lewis, Jr.	REALTY INCOME CORP	O	$3.55 	$0.35 	6.55	-0.462
James M. Whitehurst	RED HAT INC	RHT	$7.41 	$0.91 	6.87	-0.041
Dennis B. Mullen	RED ROBIN GOURMET BURGERS	RRGB	$1.42 	$0.86 	6.151	-0.065
Henry W. Knueppel	REGAL-BELOIT CORP	RBC	$8.34 	$2.24 	6.921	0.35
Martin E. Stein, Jr.	REGENCY CENTERS CORP	REG	$3.58 	$0.48 	6.554	-0.322
Leonard S. Schleifer, M.D., Ph.D.	REGENERON PHARMACEUT	REGN	$7.59 	$0.46 	6.88	-0.338
O. B. Grayson Hall, Jr.	REGIONS FINANCIAL CORP	RF	$5.12 	$8.14 	6.709	0.911
Paul D. Finkelstein	REGIS CORP/MN	RGS	$4.46 	$2.36 	6.65	0.373
John H. Short, Ph.D.	REHABCARE GROUP INC	RHB	$2.48 		6.395	
A. Greig Woodring	REINSURANCE GROUP AMER INC	RGA	$4.52 	$8.26 	6.655	0.917
David H. Hannah	RELIANCE STEEL & ALUMINUM CO	RS	$5.28 	$6.31 	6.723	0.8
Mark E. Speese	RENT-A-CENTER INC	RCII	$2.25 	$2.73 	6.351	0.436
James E. O?Connor	REPUBLIC SERVICES INC	RSG	$9.00 	$8.11 	6.954	0.909
Kieran T. Gallahue	RESMED INC	RMD	$4.83 	$1.09 	6.684	0.038
Susan M. Ivey	REYNOLDS AMERICAN INC	RAI	$23.81 	$8.55 	7.377	0.932
Robert A. Bruggeworth	RF MICRO DEVICES INC	RFMD	$4.18 	$1.05 	6.622	0.022
Greg R. Gianforte	RIGHTNOW TECHNOLOGIES INC	RNOW	$1.89 	$0.19 	6.277	-0.732
John T. Standley	RITE AID CORP	RAD	$2.83 	$25.22 	6.451	1.402
Jerry M. Kennelly	RIVERBED TECHNOLOGY INC	RVBD	$5.19 	$0.55 	6.715	-0.258
Jonathan E. Michael	RLI CORP	RLI	$3.42 	$0.58 	6.534	-0.234
Peter C. Wallace	ROBBINS & MYERS INC	RBN	$2.91 	$0.59 	6.463	-0.233
Harold M. Messmer, Jr.	ROBERT HALF INTL INC	RHI	$9.62 	$3.18 	6.983	0.502
James A. Rubright	ROCK-TENN CO	RKT	$10.51 	$3.00 	7.021	0.477
Keith D. Nosbusch	ROCKWELL AUTOMATION	ROK	$8.76 	$4.86 	6.943	0.686
Clayton Jones	ROCKWELL COLLINS INC	COL	$6.56 	$4.67 	6.817	0.67
Gunther Braun	ROFIN SINAR TECHNOLOGIES INC	RSTI	$1.77 	$0.42 	6.249	-0.373
Robert D. Wachob	ROGERS CORP	ROG	$3.49 	$0.38 	6.543	-0.421
Gary W. Rollins	ROLLINS INC	ROL	$3.32 	$1.14 	6.521	0.056
